Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
84,Exit Long,Stop Loss Long,2023-03-13 08:40,1.2329,1136145.861,-15955.73,-1.13,399424.80,-1.13,50247.35,3.55,24170.21,1.71
84,Entry Long,Long Entry,2023-03-13 07:15,1.2462,1136145.861,-15955.73,-1.13,399424.80,-1.13,50247.35,3.55,24170.21,1.71
83,Exit Short,Take Profit Short,2023-03-13 04:40,1.2469,982885.435,94281.17,7.14,415380.53,7.14,99464.98,7.53,985.91,0.07
83,Entry Short,Short Entry,2023-03-13 02:40,1.3436,982885.435,94281.17,7.14,415380.53,7.14,99464.98,7.53,985.91,0.07
82,Exit Short,Stop Loss Short,2023-03-13 02:35,1.3443,1011331.635,-20126.36,-1.5,321099.38,-1.5,54310.98,4.05,20224.17,1.51
82,Entry Short,Short Entry,2023-03-12 19:55,1.3252,1011331.635,-20126.36,-1.5,321099.38,-1.5,54310.98,4.05,20224.17,1.51
81,Exit Short,Stop Loss Short,2023-03-12 19:45,1.3186,1052268.026,-24185.85,-1.77,341225.72,-1.77,13691.14,1,35239.32,2.58
81,Entry Short,Short Entry,2023-03-12 19:35,1.2964,1052268.026,-24185.85,-1.77,341225.72,-1.77,13691.14,1,35239.32,2.58
80,Exit Short,Stop Loss Short,2023-03-12 17:25,1.2458,1151928.878,-35523.70,-2.54,365411.60,-2.54,20084.22,1.43,39931.28,2.85
80,Entry Short,Short Entry,2023-03-12 16:40,1.2157,1151928.878,-35523.70,-2.54,365411.60,-2.54,20084.22,1.43,39931.28,2.85
79,Exit Long,Take Profit Long,2023-03-12 13:40,1.1137,1258627.554,96731.86,7.42,400935.28,7.42,110493.83,8.47,11844.77,0.91
79,Entry Long,Long Entry,2023-03-12 09:05,1.0362,1258627.554,96731.86,7.42,400935.28,7.42,110493.83,8.47,11844.77,0.91
78,Exit Short,Stop Loss Short,2023-03-11 19:20,1.0895,1245213.516,-27204.60,-2.05,304203.44,-2.04,31976.47,2.4,27544.73,2.07
78,Entry Short,Short Entry,2023-03-11 16:25,1.0683,1245213.516,-27204.60,-2.05,304203.44,-2.04,31976.47,2.4,27544.73,2.07
77,Exit Short,Stop Loss Short,2023-03-11 15:00,1.0552,1290161.419,-15391.28,-1.14,331408.03,-1.14,10562.33,0.78,25046.12,1.86
77,Entry Short,Short Entry,2023-03-11 14:40,1.0439,1290161.419,-15391.28,-1.14,331408.03,-1.14,10562.33,0.78,25046.12,1.86
76,Exit Long,Short Entry,2023-03-11 14:40,1.0439,1290795.845,62717.73,4.88,346799.30,4.88,70221.34,5.47,11098.79,0.86
76,Entry Long,Long Entry,2023-03-11 05:40,0.9947,1290795.845,62717.73,4.88,346799.30,4.88,70221.34,5.47,11098.79,0.86
75,Exit Long,Stop Loss Long,2023-03-11 05:35,1.0019,1283184.425,-22463.69,-1.72,284081.56,-1.72,7435.23,0.57,22078.01,1.69
75,Entry Long,Long Entry,2023-03-11 05:05,1.0188,1283184.425,-22463.69,-1.72,284081.56,-1.72,7435.23,0.57,22078.01,1.69
74,Exit Long,Stop Loss Long,2023-03-11 01:20,1.0953,1193338.892,-15347.34,-1.16,306545.28,-1.16,1393.52,0.11,16387.23,1.24
74,Entry Long,Long Entry,2023-03-11 01:15,1.1075,1193338.892,-15347.34,-1.16,306545.28,-1.16,1393.52,0.11,16387.23,1.24
73,Exit Short,Long Entry,2023-03-11 01:15,1.1075,1059490.812,73543.99,5.89,321892.62,5.89,75697.14,6.07,4506.31,0.36
73,Entry Short,Short Entry,2023-03-10 20:10,1.1776,1059490.812,73543.99,5.89,321892.62,5.89,75697.14,6.07,4506.31,0.36
72,Exit Long,Take Profit Long,2023-03-10 07:50,1.1644,1072325.61,90211.32,7.79,248348.62,7.79,103346.58,8.93,21043.19,1.82
72,Entry Long,Long Entry,2023-03-10 04:35,1.0796,1072325.61,90211.32,7.79,248348.62,7.79,103346.58,8.93,21043.19,1.82
71,Exit Long,Stop Loss Long,2023-03-10 04:30,1.0749,1077961.266,-14497.26,-1.24,158137.30,-1.24,295.03,0.03,16628.97,1.42
71,Entry Long,Long Entry,2023-03-10 04:25,1.0877,1077961.266,-14497.26,-1.24,158137.30,-1.24,295.03,0.03,16628.97,1.42
70,Exit Long,Stop Loss Long,2023-03-10 04:20,1.0890,1077122.551,-15141.56,-1.28,172634.56,-1.27,10307.29,0.87,15543.65,1.31
70,Entry Long,Long Entry,2023-03-10 03:45,1.1024,1077122.551,-15141.56,-1.28,172634.56,-1.27,10307.29,0.87,15543.65,1.31
69,Exit Long,Stop Loss Long,2023-03-10 02:40,1.1309,1050886.923,-18688.63,-1.55,187776.12,-1.55,8150.26,0.68,18647.36,1.55
69,Entry Long,Long Entry,2023-03-10 01:00,1.1480,1050886.923,-18688.63,-1.55,187776.12,-1.55,8150.26,0.68,18647.36,1.55
68,Exit Long,Stop Loss Long,2023-03-10 00:55,1.1477,1051701.025,-12822.41,-1.05,206464.75,-1.05,0,0,18139.49,1.49
