Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Short/Long Ratio,Closing Short/Long Ratio,Gap,Movement,Max Profit,Max Loss
"2023-02-27","15:50:00",397.25,"75 Feb 28 399 C BTO 0.87 | 150 Feb 28 396 C STO 2.35 | 75 Feb 28 393 C BTO 4.63",-82,396.93,"2023-02-28","09:33:00",-97,"Profit Target",1125,75,21866,6150,"",0.85,0.79,3.49,-2.62,20.73,-20.73
"2023-02-24","15:50:00",395.51,"94 Feb 27 398 C BTO 0.87 | 188 Feb 27 395 C STO 2.20 | 94 Feb 27 392 C BTO 4.23",-72,397.95,"2023-02-27","15:00:00",-51,"Exited at Specified Time",-1974,94,20741,6768,"",0.86,0.92,-5.24,0.09,11.11,-80.56
"2023-02-23","15:50:00",400.93,"92 Feb 24 403 C BTO 0.95 | 184 Feb 24 400 C STO 2.35 | 92 Feb 24 397 C BTO 4.58",-85,396.79,"2023-02-24","15:00:00",-48,"Exited at Specified Time",-3404,92,22715,7820,"",0.85,0.17,3.02,-0.63,0,-85.88
"2023-02-22","15:50:00",397.56,"129 Feb 23 400 C BTO 0.86 | 258 Feb 23 397 C STO 2.20 | 129 Feb 23 394 C BTO 4.07",-55,397.47,"2023-02-22","15:51:00",-73,"Profit Target",2322,129,26119,7095,"",0.89,0.85,0.43,-1.96,36.36,0
"2023-02-21","15:50:00",399.79,"100 Feb 22 402 C BTO 1.07 | 200 Feb 22 399 C STO 2.46 | 100 Feb 22 396 C BTO 4.51",-68,399.79,"2023-02-22","09:32:00",-79,"Profit Target",1100,100,23797,6800,"",0.88,0.84,-4.2,-3.27,19.12,-1.47
"2023-02-17","15:50:00",406.43,"94 Feb 21 408 C BTO 1.21 | 188 Feb 21 405 C STO 2.78 | 94 Feb 21 402 C BTO 5.01",-68,403.28,"2023-02-21","09:32:00",-81,"Profit Target",1222,94,22697,6392,"",0.89,0.66,-2.22,0.37,22.06,-17.65
"2023-02-16","15:50:00",409.07,"81 Feb 17 411 C BTO 1.15 | 162 Feb 17 408 C STO 2.65 | 81 Feb 17 405 C BTO 4.88",-75,406.32,"2023-02-17","10:19:00",-90,"Profit Target",1215,81,21475,6075,"",0.88,0.61,-5.19,0.28,22.67,-28
"2023-02-15","15:50:00",413.32,"110 Feb 16 415 C BTO 0.94 | 220 Feb 16 412 C STO 2.51 | 110 Feb 16 409 C BTO 4.53",-47,413.44,"2023-02-15","15:51:00",-74,"Profit Target",2970,110,20260,5170,"",0.92,0.87,-2.29,2.97,61.7,0
"2023-02-14","15:50:00",413.49,"76 Feb 15 415 C BTO 1.02 | 152 Feb 15 412 C STO 2.58 | 76 Feb 15 409 C BTO 4.76",-64,413.28,"2023-02-14","15:51:00",-76,"Profit Target",912,76,17290,4864,"",0.89,0.86,-1.59,2.25,21.88,0
"2023-02-13","15:50:00",412.6,"114 Feb 14 415 C BTO 2.32 | 228 Feb 14 412 C STO 3.81 | 114 Feb 14 409 C BTO 5.62",-34,409.7,"2023-02-14","09:32:00",-64,"Profit Target",3420,114,16378,3876,"",0.96,0.79,0.68,3.88,94.12,-8.82
"2023-02-10","15:50:00",408.21,"50 Feb 13 410 C BTO 1.08 | 100 Feb 13 407 C STO 2.57 | 50 Feb 13 404 C BTO 4.77",-73,408.33,"2023-02-13","09:36:00",-87,"Profit Target",700,50,12958,3650,"",0.88,0.83,-1.23,2.35,21.92,-21.92
